"REGION","CANTON","PERIOD","VALUE","STATUS","OBS_COEF"
"Total","Total","2025-02","2.9","A","A"
"1","Total","2025-02","4.3","A","A"
"1","22","2025-02","4.5","A","A"
"1","23","2025-02","3.3","A","A"
"1","25","2025-02","4.7","A","A"
"2","Total","2025-02","2.7","A","A"
"2","2","2025-02","2.1","R","A"
"2","10","2025-02","2.7","A","A"
"2","11","2025-02","3.1","A","A"
"2","24","2025-02","4.5","A","B"
"2","26","2025-02","5.2","R","B"
"3","Total","2025-02","3.2","A","A"
"3","12","2025-02","4.3","A","A"
"3","13","2025-02","2.7","A","A"
"3","19","2025-02","3.2","A","A"
"4","Total","2025-02","2.6","A","A"
"4","1","2025-02","2.6","A","A"
"5","Total","2025-02","2","A","A"
"5","8","2025-02","1.5","A","B"
"5","14","2025-02","3.1","A","B"
"5","15","2025-02","1.6","A","B"
"5","16","2025-02","0.7","A","C"
"5","17","2025-02","2.1","A","A"
"5","18","2025-02","1.2","A","A"
"5","20","2025-02","2.4","A","A"
"6","Total","2025-02","1.8","A","A"
"6","3","2025-02","2","A","A"
"6","4","2025-02","1.2","A","C"
"6","5","2025-02","1.2","A","B"
"6","6","2025-02","1","A","B"
"6","7","2025-02","1.2","A","B"
"6","9","2025-02","2.4","A","B"
"7","Total","2025-02","3.2","A","A"
"7","21","2025-02","3.2","A","A"
"Total","Total","2025-01","2.9","A","A"
"1","Total","2025-01","4.4","A","A"
"1","22","2025-01","4.6","A","A"
"1","23","2025-01","3.6","A","A"
"1","25","2025-01","4.7","A","A"
"2","Total","2025-01","2.7","A","A"
"2","2","2025-01","2.1","R","A"
"2","10","2025-01","2.7","A","A"
"2","11","2025-01","3.1","A","A"
"2","24","2025-01","4.4","A","B"
"2","26","2025-01","5.1","R","B"
"3","Total","2025-01","3.2","A","A"
"3","12","2025-01","4.4","A","A"
"3","13","2025-01","2.7","A","A"
"3","19","2025-01","3.1","A","A"
"4","Total","2025-01","2.5","A","A"
"4","1","2025-01","2.5","A","A"
"5","Total","2025-01","2","A","A"
"5","8","2025-01","1.6","A","B"
"5","14","2025-01","3.1","A","B"
"5","15","2025-01","1.6","A","B"
"5","16","2025-01","0.8","A","C"
"5","17","2025-01","2.1","A","A"
"5","18","2025-01","1.4","A","A"
"5","20","2025-01","2.4","A","A"
"6","Total","2025-01","1.7","A","A"
"6","3","2025-01","1.9","A","A"
"6","4","2025-01","1.3","A","C"
"6","5","2025-01","1.2","A","B"
"6","6","2025-01","1","A","B"
"6","7","2025-01","1.1","A","B"
"6","9","2025-01","2.4","A","B"
"7","Total","2025-01","3.3","A","A"
"7","21","2025-01","3.3","A","A"
"Total","Total","2024-12","2.8","A","A"
"1","Total","2024-12","4.2","A","A"
"1","22","2024-12","4.4","A","A"
"1","23","2024-12","3.6","A","A"
"1","25","2024-12","4.5","A","A"
"2","Total","2024-12","2.6","A","A"
"2","2","2024-12","2","R","A"
"2","10","2024-12","2.7","A","A"
"2","11","2024-12","2.9","A","A"
"2","24","2024-12","4.1","A","B"
"2","26","2024-12","5","R","B"
"3","Total","2024-12","3.1","A","A"
"3","12","2024-12","4.2","A","A"
"3","13","2024-12","2.5","A","A"
"3","19","2024-12","3","A","A"
"4","Total","2024-12","2.4","A","A"
"4","1","2024-12","2.4","A","A"
"5","Total","2024-12","2","A","A"
"5","8","2024-12","1.5","A","B"
"5","14","2024-12","2.8","A","B"
"5","15","2024-12","1.4","A","B"
"5","16","2024-12","0.6","A","C"
"5","17","2024-12","2","A","A"
"5","18","2024-12","1.4","A","A"
"5","20","2024-12","2.3","A","A"
"6","Total","2024-12","1.7","A","A"
"6","3","2024-12","1.9","A","A"
"6","4","2024-12","1.3","A","C"
"6","5","2024-12","1.1","A","B"
"6","6","2024-12","0.8","A","B"
"6","7","2024-12","1.1","A","B"
"6","9","2024-12","2.2","A","B"
"7","Total","2024-12","3.1","A","A"
"7","21","2024-12","3.1","A","A"
"Total","Total","2024-11","2.6","A","A"
