date,ch.kof.consensus.q_qn_10yyield_12m.mean,ch.kof.consensus.q_qn_10yyield_3m.mean,ch.kof.consensus.q_qn_3minterest_12m.mean,ch.kof.consensus.q_qn_3minterest_3m.mean,ch.kof.consensus.q_qn_eurchf_12m.mean,ch.kof.consensus.q_qn_eurchf_3m.mean,ch.kof.consensus.q_qn_exports_cy.mean,ch.kof.consensus.q_qn_exports_ny.mean,ch.kof.consensus.q_qn_investbau_cy.mean,ch.kof.consensus.q_qn_investbau_ny.mean,ch.kof.consensus.q_qn_invest_cy.mean,ch.kof.consensus.q_qn_investequ_cy.mean,ch.kof.consensus.q_qn_investequ_ny.mean,ch.kof.consensus.q_qn_invest_ny.mean,ch.kof.consensus.q_qn_prices_5y.mean,ch.kof.consensus.q_qn_prices_cy.mean,ch.kof.consensus.q_qn_prices_ny.mean,ch.kof.consensus.q_qn_realgdp_5y.mean,ch.kof.consensus.q_qn_realgdp_cy.mean,ch.kof.consensus.q_qn_realgdp_ny.mean,ch.kof.consensus.q_qn_realgdpspea_5y.mean,ch.kof.consensus.q_qn_realgdpspea_cy.mean,ch.kof.consensus.q_qn_realgdpspea_ny.mean,ch.kof.consensus.q_qn_spi_12m.mean,ch.kof.consensus.q_qn_spi_3m.mean,ch.kof.consensus.q_qn_unemp_5y.mean,ch.kof.consensus.q_qn_unemp_cy.mean,ch.kof.consensus.q_qn_unemp_ny.mean,ch.kof.consensus.q_qn_usdchf_12m.mean,ch.kof.consensus.q_qn_usdchf_3m.mean
Okt 2013,1.4939902611,1.14661552214286,0.209139628857143,0.062751754,1.24538655005556,1.23635500231579,1.9579758189,4.0991965252,NA,NA,1.35249970185,NA,NA,2.75496764865,NA,-0.1918626265,0.4604318025,NA,1.85049828413636,2.11446281890909,NA,NA,NA,8275.60439561538,7957.08791207692,NA,3.15961481981818,3.15127125113636,0.956864755833333,0.927526408684211
Jan 2014,1.53452819046667,1.1990563393125,0.19024625,0.0673821848823529,1.23944846153846,1.2306662245,3.88756505653333,4.80035724386667,NA,NA,2.76427712666667,NA,NA,2.68555140926667,NA,0.342402475705882,0.8458976973125,NA,2.13103666182353,2.3031296224375,NA,NA,NA,8435.87301588889,8133.015873,NA,3.16645181376471,3.1024973239375,0.946948892692308,0.927695126071429
Apr 2014,1.353847767875,1.022474958,0.0974292437058824,0.0343047618888889,1.23283866666667,1.2254669643125,4.205003552,4.712987259,NA,NA,3.3595107835,NA,NA,3.097087786875,NA,0.0950156971111111,0.574031638588235,NA,2.10268990077778,2.19509413858824,NA,NA,NA,8977.1428571,8626.5,NA,3.17202664022222,3.12702683470588,0.952470923066667,0.91001243175
Jul 2014,1.13851208792308,0.735381428538462,0.168146703307692,0.037617449,1.22127654758333,1.21242681315385,3.56305494507692,4.20925054946154,NA,NA,2.69366549953846,NA,NA,2.58691753784615,NA,0.101010098333333,0.541902682571429,NA,1.752186133,1.94810317221429,NA,NA,NA,9045.53571425,8644.553571375,NA,3.21400323806667,3.17375397957143,0.956377380916667,0.920582857166667
Okt 2014,0.817599444444444,0.525169629611111,0.0586469173157895,0.0312463157894737,1.21789546217647,1.21048789917647,3.15937861275,3.50725067105556,NA,NA,1.56082362422222,NA,NA,1.97186356905556,NA,0.0434973133809524,0.285965723714286,NA,1.79558407642857,1.78440477514286,NA,NA,NA,9289.70238091667,9054.88095241667,NA,3.24864768,3.2280389202,1.00773739494118,0.980382268882353
Jan 2015,0.268482142875,0.0266386554705882,-0.494642857125,-0.690336134470588,1.08420168064706,1.06432539683333,-0.225319269470588,1.81063990576471,NA,NA,0.405142523235294,NA,NA,1.48480705305882,1.13076923076923,-0.96549650035,0.0507791096842105,1.61538461538462,0.501335678,1.02126397210526,NA,NA,NA,9421.42857144444,9114.047619,3.275,3.54498496242105,3.70760863894444,1.001697479,0.964087301611111
Apr 2015,0.266510204071429,0.0473571428571429,-0.601612244928571,-0.774489795928571,1.07818681315385,1.04978021976923,0.0178571428333333,2.3279761905,NA,NA,0.661730779307692,NA,NA,1.48534320053846,1.01,-1.03890298786667,-0.0164284867142857,1.66363636363636,0.68558746775,1.18867508846667,NA,NA,NA,9896.632653,9530.81632657143,3.43333333333333,3.51474082833333,3.63135352664286,1.03364615384615,0.977962087923077
Jul 2015,0.3488894643125,0.0451544643125,-0.557714107125,-0.6946548214375,1.09107142857143,1.06948979592857,-0.419127254875,1.9472779549375001,NA,NA,0.834894774125,NA,NA,1.2198891045625,0.945454545454545,-0.972047499111111,0.0726308597647059,1.74545454545455,0.705793819166667,1.27843412717647,NA,NA,NA,9394.196428625,8970.08928575,3.4,3.41654128094444,3.65516170623529,1.02982326528571,0.983011632642857
Okt 2015,0.1325,-0.133888888888889,-0.628111111111111,-0.754611111111111,1.10125,1.0848125,0.806333333333333,2.39927777777778,NA,NA,1.344,NA,NA,1.33616666666667,1.05333333333333,-1.1353,-0.24245,1.6,0.71055,1.14815,NA,NA,NA,9614.6,9246.5,3.32666666666667,3.33,3.585,1.0494375,1.022
Jan 2016,-0.0025,-0.3210714285625,-0.539579831941176,-0.769579831941177,1.1024154354375,1.0884154354375,2.44418204761111,3.1924310885,NA,NA,0.849553182555556,NA,NA,1.67298330183333,1.15625,-0.57505238085,0.152195066526316,1.73125,1.108530606,1.50977099331579,NA,NA,NA,8821.047619,8401.39682544444,3.3,3.58397300785,3.57654883257895,1.0359076238,1.01663429046667
