"CubeId";"zimoma"
"PublishingDate";"2026-06-01 14:30"

"Date";"D0";"Value"
"2006-05";"SARON";"1.11309"
"2006-05";"3M0";"1.42333"
"2006-06";"SARON";"1.242492"
"2006-06";"3M0";"1.52"
"2006-07";"SARON";"1.345125"
"2006-07";"3M0";"1.55"
"2006-08";"SARON";"1.370228"
"2006-08";"3M0";"1.68"
"2006-09";"SARON";"1.682963"
"2006-09";"3M0";"1.81083"
"2006-10";"SARON";"1.627171"
"2006-10";"3M0";"1.86"
"2006-11";"SARON";"1.768215"
"2006-11";"3M0";"1.95"
"2006-12";"SARON";"1.897995"
"2006-12";"3M0";"2.1025"
"2007-01";"SARON";"1.905279"
"2007-01";"3M0";"2.19"
"2007-02";"SARON";"1.835111"
"2007-02";"3M0";"2.22"
"2007-03";"SARON";"1.979335"
"2007-03";"3M0";"2.295"
"2007-04";"SARON";"2.066636"
"2007-04";"3M0";"2.35"
"2007-05";"SARON";"2.165807"
"2007-05";"3M0";"2.47"
"2007-06";"SARON";"2.418879"
"2007-06";"3M0";"2.7"
"2007-07";"SARON";"2.490651"
"2007-07";"3M0";"2.7075"
"2007-08";"SARON";"2.3134"
"2007-08";"3M0";"2.89667"
"2007-09";"SARON";"2.209981"
"2007-09";"3M0";"2.785"
"2007-10";"SARON";"2.118889"
"2007-10";"3M0";"2.75333"
"2007-11";"SARON";"2.115592"
"2007-11";"3M0";"2.745"
"2007-12";"SARON";"1.873853"
"2007-12";"3M0";"2.75667"
"2008-01";"SARON";"2.241335"
"2008-01";"3M0";"2.65333"
"2008-02";"SARON";"2.240998"
"2008-02";"3M0";"2.79667"
"2008-03";"SARON";"1.894609"
"2008-03";"3M0";"2.885"
"2008-04";"SARON";"1.850478"
"2008-04";"3M0";"2.80833"
"2008-05";"SARON";"1.796851"
"2008-05";"3M0";"2.7775"
"2008-06";"SARON";"1.860357"
"2008-06";"3M0";"2.79"
"2008-07";"SARON";"1.955679"
"2008-07";"3M0";"2.75583"
"2008-08";"SARON";"1.933609"
"2008-08";"3M0";"2.745"
"2008-09";"SARON";"1.666335"
"2008-09";"3M0";"2.955"
"2008-10";"SARON";"0.522862"
"2008-10";"3M0";"2.71833"
"2008-11";"SARON";"0.03909"
"2008-11";"3M0";"1.255"
"2008-12";"SARON";"0.019608"
"2008-12";"3M0";"0.66167"
"2009-01";"SARON";"0.080879"
"2009-01";"3M0";"0.52667"
"2009-02";"SARON";"0.035864"
"2009-02";"3M0";"0.495"
"2009-03";"SARON";"0.031394"
"2009-03";"3M0";"0.40333"
"2009-04";"SARON";"0.03359"
"2009-04";"3M0";"0.40333"
"2009-05";"SARON";"0.034996"
"2009-05";"3M0";"0.39833"
"2009-06";"SARON";"0.020048"
"2009-06";"3M0";"0.395"
"2009-07";"SARON";"0.016977"
"2009-07";"3M0";"0.36"
"2009-08";"SARON";"0.018446"
"2009-08";"3M0";"0.31667"
"2009-09";"SARON";"0.024256"
"2009-09";"3M0";"0.28833"
"2009-10";"SARON";"0.045043"
"2009-10";"3M0";"0.26183"
"2009-11";"SARON";"0.043573"
"2009-11";"3M0";"0.25"
"2009-12";"SARON";"0.031984"
"2009-12";"3M0";"0.25167"
"2010-01";"SARON";"0.027068"
"2010-01";"3M0";"0.25"
"2010-02";"SARON";"0.037635"
"2010-02";"3M0";"0.25"
"2010-03";"SARON";"0.052509"
"2010-03";"3M0";"0.24667"
"2010-04";"SARON";"0.027666"
"2010-04";"3M0";"0.24583"
"2010-05";"SARON";"0.016089"
"2010-05";"3M0";"0.10833"
"2010-06";"SARON";"0.059386"
"2010-06";"3M0";"0.11167"
"2010-07";"SARON";"0.079548"
"2010-07";"3M0";"0.17167"
"2010-08";"SARON";"0.318768"
"2010-08";"3M0";"0.165"
