Division économique,Taux d'occupation,Sexe,Trimestre,"Emplois selon la division économique, le taux d'occupation et le sexe"
5-96 Total,Temps partiel,Femme,1998Q2,868423
5-96 Total,Temps partiel,Femme,1998Q3,875279
5-96 Total,Temps partiel,Femme,1998Q4,884395
5-96 Total,Temps partiel,Femme,1999Q1,901294
5-96 Total,Temps partiel,Femme,1999Q2,924126
5-96 Total,Temps partiel,Femme,1999Q3,937476
5-96 Total,Temps partiel,Femme,1999Q4,952119
5-96 Total,Temps partiel,Femme,2000Q1,969046
5-96 Total,Temps partiel,Femme,2000Q2,979610
5-96 Total,Temps partiel,Femme,2000Q3,979625
5-96 Total,Temps partiel,Femme,2000Q4,989059
5-96 Total,Temps partiel,Femme,2001Q1,993664
5-96 Total,Temps partiel,Femme,2001Q2,985002
5-96 Total,Temps partiel,Femme,2001Q3,984593
5-96 Total,Temps partiel,Femme,2001Q4,990696
5-96 Total,Temps partiel,Femme,2002Q1,996363
5-96 Total,Temps partiel,Femme,2002Q2,998285
5-96 Total,Temps partiel,Femme,2002Q3,1011826
5-96 Total,Temps partiel,Femme,2002Q4,1004088
5-96 Total,Temps partiel,Femme,2003Q1,1008180
5-96 Total,Temps partiel,Femme,2003Q2,1019121
5-96 Total,Temps partiel,Femme,2003Q3,1033187
5-96 Total,Temps partiel,Femme,2003Q4,1035688
5-96 Total,Temps partiel,Femme,2004Q1,1043960
5-96 Total,Temps partiel,Femme,2004Q2,1051627
5-96 Total,Temps partiel,Femme,2004Q3,1051301
5-96 Total,Temps partiel,Femme,2004Q4,1054406
5-96 Total,Temps partiel,Femme,2005Q1,1051673
5-96 Total,Temps partiel I,Sexe - total,1991Q3,439492
5-96 Total,Temps partiel I,Sexe - total,1991Q4,438777
5-96 Total,Temps partiel I,Sexe - total,1992Q1,440311
5-96 Total,Temps partiel I,Sexe - total,1992Q2,452389
5-96 Total,Temps partiel I,Sexe - total,1992Q3,448867
5-96 Total,Temps partiel I,Sexe - total,1992Q4,435569
5-96 Total,Temps partiel I,Sexe - total,1993Q1,441537
5-96 Total,Temps partiel I,Sexe - total,1993Q2,456273
5-96 Total,Temps partiel I,Sexe - total,1993Q3,447362
5-96 Total,Temps partiel I,Sexe - total,1993Q4,451215
5-96 Total,Temps partiel I,Sexe - total,1994Q1,448485
5-96 Total,Temps partiel I,Sexe - total,1994Q2,451886
5-96 Total,Temps partiel I,Sexe - total,1994Q3,456413
5-96 Total,Temps partiel I,Sexe - total,1994Q4,459188
5-96 Total,Temps partiel I,Sexe - total,1995Q1,463731
5-96 Total,Temps partiel I,Sexe - total,1995Q2,466131
5-96 Total,Temps partiel I,Sexe - total,1995Q3,475517
5-96 Total,Temps partiel I,Sexe - total,1995Q4,472107
5-96 Total,Temps partiel I,Sexe - total,1996Q1,469847
5-96 Total,Temps partiel I,Sexe - total,1996Q2,478529
5-96 Total,Temps partiel I,Sexe - total,1996Q3,487555
5-96 Total,Temps partiel I,Sexe - total,1996Q4,488905
5-96 Total,Temps partiel I,Sexe - total,1997Q1,486354
5-96 Total,Temps partiel I,Sexe - total,1997Q2,489158
5-96 Total,Temps partiel I,Sexe - total,1997Q3,495133
5-96 Total,Temps partiel I,Sexe - total,1997Q4,502401
5-96 Total,Temps partiel I,Sexe - total,1998Q1,500856
5-96 Total,Temps partiel I,Sexe - total,1998Q2,517878
5-96 Total,Temps partiel I,Sexe - total,1998Q3,529439
5-96 Total,Temps partiel I,Sexe - total,1998Q4,528976
5-96 Total,Temps partiel I,Sexe - total,1999Q1,537214
5-96 Total,Temps partiel I,Sexe - total,1999Q2,557334
5-96 Total,Temps partiel I,Sexe - total,1999Q3,567678
5-96 Total,Temps partiel I,Sexe - total,1999Q4,576759
5-96 Total,Temps partiel I,Sexe - total,2000Q1,583264
5-96 Total,Temps partiel I,Sexe - total,2000Q2,591064
5-96 Total,Temps partiel I,Sexe - total,2000Q3,592850
5-96 Total,Temps partiel I,Sexe - total,2000Q4,591299
5-96 Total,Temps partiel I,Sexe - total,2001Q1,594548
5-96 Total,Temps partiel I,Sexe - total,2001Q2,595525
5-96 Total,Temps partiel I,Sexe - total,2001Q3,600753
5-96 Total,Temps partiel I,Sexe - total,2001Q4,602997
5-96 Total,Temps partiel I,Sexe - total,2002Q1,605627
5-96 Total,Temps partiel I,Sexe - total,2002Q2,609474
5-96 Total,Temps partiel I,Sexe - total,2002Q3,618436
5-96 Total,Temps partiel I,Sexe - total,2002Q4,613892
5-96 Total,Temps partiel I,Sexe - total,2003Q1,621701
5-96 Total,Temps partiel I,Sexe - total,2003Q2,627591
5-96 Total,Temps partiel I,Sexe - total,2003Q3,639691
5-96 Total,Temps partiel I,Sexe - total,2003Q4,642872
5-96 Total,Temps partiel I,Sexe - total,2004Q1,638857
5-96 Total,Temps partiel I,Sexe - total,2004Q2,650483
5-96 Total,Temps partiel I,Sexe - total,2004Q3,656238
5-96 Total,Temps partiel I,Sexe - total,2004Q4,657254
5-96 Total,Temps partiel I,Sexe - total,2005Q1,659305
5-96 Total,Temps partiel I,Homme,1991Q3,108582
5-96 Total,Temps partiel I,Homme,1991Q4,105665
5-96 Total,Temps partiel I,Homme,1992Q1,105273
5-96 Total,Temps partiel I,Homme,1992Q2,115790
5-96 Total,Temps partiel I,Homme,1992Q3,114839
5-96 Total,Temps partiel I,Homme,1992Q4,109680
5-96 Total,Temps partiel I,Homme,1993Q1,107662
5-96 Total,Temps partiel I,Homme,1993Q2,112897
5-96 Total,Temps partiel I,Homme,1993Q3,113980
5-96 Total,Temps partiel I,Homme,1993Q4,113027
5-96 Total,Temps partiel I,Homme,1994Q1,112139
5-96 Total,Temps partiel I,Homme,1994Q2,108739
5-96 Total,Temps partiel I,Homme,1994Q3,115007
5-96 Total,Temps partiel I,Homme,1994Q4,114396
5-96 Total,Temps partiel I,Homme,1995Q1,115467
5-96 Total,Temps partiel I,Homme,1995Q2,115151
5-96 Total,Temps partiel I,Homme,1995Q3,120396
5-96 Total,Temps partiel I,Homme,1995Q4,116730
5-96 Total,Temps partiel I,Homme,1996Q1,115569
5-96 Total,Temps partiel I,Homme,1996Q2,119839
5-96 Total,Temps partiel I,Homme,1996Q3,123061
5-96 Total,Temps partiel I,Homme,1996Q4,123194
5-96 Total,Temps partiel I,Homme,1997Q1,123712
5-96 Total,Temps partiel I,Homme,1997Q2,125802
5-96 Total,Temps partiel I,Homme,1997Q3,127471
5-96 Total,Temps partiel I,Homme,1997Q4,130337
5-96 Total,Temps partiel I,Homme,1998Q1,131206
5-96 Total,Temps partiel I,Homme,1998Q2,136022
5-96 Total,Temps partiel I,Homme,1998Q3,139501
5-96 Total,Temps partiel I,Homme,1998Q4,140333
5-96 Total,Temps partiel I,Homme,1999Q1,142403
5-96 Total,Temps partiel I,Homme,1999Q2,148579
5-96 Total,Temps partiel I,Homme,1999Q3,151528
5-96 Total,Temps partiel I,Homme,1999Q4,153923
5-96 Total,Temps partiel I,Homme,2000Q1,156898
5-96 Total,Temps partiel I,Homme,2000Q2,159289
5-96 Total,Temps partiel I,Homme,2000Q3,156392
5-96 Total,Temps partiel I,Homme,2000Q4,154474
5-96 Total,Temps partiel I,Homme,2001Q1,150642
5-96 Total,Temps partiel I,Homme,2001Q2,151578
5-96 Total,Temps partiel I,Homme,2001Q3,153588
5-96 Total,Temps partiel I,Homme,2001Q4,152891
5-96 Total,Temps partiel I,Homme,2002Q1,154325
5-96 Total,Temps partiel I,Homme,2002Q2,154740
5-96 Total,Temps partiel I,Homme,2002Q3,158206
5-96 Total,Temps partiel I,Homme,2002Q4,155093
5-96 Total,Temps partiel I,Homme,2003Q1,155786
5-96 Total,Temps partiel I,Homme,2003Q2,157942
5-96 Total,Temps partiel I,Homme,2003Q3,160996
5-96 Total,Temps partiel I,Homme,2003Q4,163061
5-96 Total,Temps partiel I,Homme,2004Q1,159889
5-96 Total,Temps partiel I,Homme,2004Q2,166505
5-96 Total,Temps partiel I,Homme,2004Q3,169810
5-96 Total,Temps partiel I,Homme,2004Q4,170415
5-96 Total,Temps partiel I,Homme,2005Q1,170636
5-96 Total,Temps partiel I,Femme,1991Q3,330910
5-96 Total,Temps partiel I,Femme,1991Q4,333112
5-96 Total,Temps partiel I,Femme,1992Q1,335038
5-96 Total,Temps partiel I,Femme,1992Q2,336599
5-96 Total,Temps partiel I,Femme,1992Q3,334028
5-96 Total,Temps partiel I,Femme,1992Q4,325889
5-96 Total,Temps partiel I,Femme,1993Q1,333875
5-96 Total,Temps partiel I,Femme,1993Q2,343375
5-96 Total,Temps partiel I,Femme,1993Q3,333382
5-96 Total,Temps partiel I,Femme,1993Q4,338188
5-96 Total,Temps partiel I,Femme,1994Q1,336347
5-96 Total,Temps partiel I,Femme,1994Q2,343147
5-96 Total,Temps partiel I,Femme,1994Q3,341407
5-96 Total,Temps partiel I,Femme,1994Q4,344793
5-96 Total,Temps partiel I,Femme,1995Q1,348263
5-96 Total,Temps partiel I,Femme,1995Q2,350980
5-96 Total,Temps partiel I,Femme,1995Q3,355121
5-96 Total,Temps partiel I,Femme,1995Q4,355376
5-96 Total,Temps partiel I,Femme,1996Q1,354278
5-96 Total,Temps partiel I,Femme,1996Q2,358690
5-96 Total,Temps partiel I,Femme,1996Q3,364493
5-96 Total,Temps partiel I,Femme,1996Q4,365711
5-96 Total,Temps partiel I,Femme,1997Q1,362642
5-96 Total,Temps partiel I,Femme,1997Q2,363355
5-96 Total,Temps partiel I,Femme,1997Q3,367662
5-96 Total,Temps partiel I,Femme,1997Q4,372065
5-96 Total,Temps partiel I,Femme,1998Q1,369650
5-96 Total,Temps partiel I,Femme,1998Q2,381856
5-96 Total,Temps partiel I,Femme,1998Q3,389938
5-96 Total,Temps partiel I,Femme,1998Q4,388643
5-96 Total,Temps partiel I,Femme,1999Q1,394811
5-96 Total,Temps partiel I,Femme,1999Q2,408755
5-96 Total,Temps partiel I,Femme,1999Q3,416150
5-96 Total,Temps partiel I,Femme,1999Q4,422837
5-96 Total,Temps partiel I,Femme,2000Q1,426366
5-96 Total,Temps partiel I,Femme,2000Q2,431776
5-96 Total,Temps partiel I,Femme,2000Q3,436459
5-96 Total,Temps partiel I,Femme,2000Q4,436825
5-96 Total,Temps partiel I,Femme,2001Q1,443906
5-96 Total,Temps partiel I,Femme,2001Q2,443947
5-96 Total,Temps partiel I,Femme,2001Q3,447165
5-96 Total,Temps partiel I,Femme,2001Q4,450106
5-96 Total,Temps partiel I,Femme,2002Q1,451302
5-96 Total,Temps partiel I,Femme,2002Q2,454734
5-96 Total,Temps partiel I,Femme,2002Q3,460230
5-96 Total,Temps partiel I,Femme,2002Q4,458799
5-96 Total,Temps partiel I,Femme,2003Q1,465916
5-96 Total,Temps partiel I,Femme,2003Q2,469648
5-96 Total,Temps partiel I,Femme,2003Q3,478695
5-96 Total,Temps partiel I,Femme,2003Q4,479811
5-96 Total,Temps partiel I,Femme,2004Q1,478969
5-96 Total,Temps partiel I,Femme,2004Q2,483978
5-96 Total,Temps partiel I,Femme,2004Q3,486429
5-96 Total,Temps partiel I,Femme,2004Q4,486839
5-96 Total,Temps partiel I,Femme,2005Q1,488670
5-96 Total,Temps partiel II,Sexe - total,1991Q3,502981
5-96 Total,Temps partiel II,Sexe - total,1991Q4,504589
5-96 Total,Temps partiel II,Sexe - total,1992Q1,502157
5-96 Total,Temps partiel II,Sexe - total,1992Q2,500105
5-96 Total,Temps partiel II,Sexe - total,1992Q3,492170
5-96 Total,Temps partiel II,Sexe - total,1992Q4,475328
5-96 Total,Temps partiel II,Sexe - total,1993Q1,460288
5-96 Total,Temps partiel II,Sexe - total,1993Q2,465301
5-96 Total,Temps partiel II,Sexe - total,1993Q3,461957
5-96 Total,Temps partiel II,Sexe - total,1993Q4,458962
5-96 Total,Temps partiel II,Sexe - total,1994Q1,451265
5-96 Total,Temps partiel II,Sexe - total,1994Q2,450866
5-96 Total,Temps partiel II,Sexe - total,1994Q3,461922
5-96 Total,Temps partiel II,Sexe - total,1994Q4,457465
5-96 Total,Temps partiel II,Sexe - total,1995Q1,466680
5-96 Total,Temps partiel II,Sexe - total,1995Q2,464703
5-96 Total,Temps partiel II,Sexe - total,1995Q3,447030
5-96 Total,Temps partiel II,Sexe - total,1995Q4,454769
5-96 Total,Temps partiel II,Sexe - total,1996Q1,458297
5-96 Total,Temps partiel II,Sexe - total,1996Q2,469053
5-96 Total,Temps partiel II,Sexe - total,1996Q3,454187
5-96 Total,Temps partiel II,Sexe - total,1996Q4,457198
5-96 Total,Temps partiel II,Sexe - total,1997Q1,460186
5-96 Total,Temps partiel II,Sexe - total,1997Q2,461859
5-96 Total,Temps partiel II,Sexe - total,1997Q3,466758
5-96 Total,Temps partiel II,Sexe - total,1997Q4,464669
5-96 Total,Temps partiel II,Sexe - total,1998Q1,475653
5-96 Total,Temps partiel II,Sexe - total,1998Q2,476298
5-96 Total,Temps partiel II,Sexe - total,1998Q3,466975
5-96 Total,Temps partiel II,Sexe - total,1998Q4,481906
5-96 Total,Temps partiel II,Sexe - total,1999Q1,493648
5-96 Total,Temps partiel II,Sexe - total,1999Q2,500288
5-96 Total,Temps partiel II,Sexe - total,1999Q3,503967
5-96 Total,Temps partiel II,Sexe - total,1999Q4,516530
5-96 Total,Temps partiel II,Sexe - total,2000Q1,532560
5-96 Total,Temps partiel II,Sexe - total,2000Q2,535562
5-96 Total,Temps partiel II,Sexe - total,2000Q3,526171
5-96 Total,Temps partiel II,Sexe - total,2000Q4,541815
5-96 Total,Temps partiel II,Sexe - total,2001Q1,539464
5-96 Total,Temps partiel II,Sexe - total,2001Q2,530433
5-96 Total,Temps partiel II,Sexe - total,2001Q3,527309
5-96 Total,Temps partiel II,Sexe - total,2001Q4,532787
5-96 Total,Temps partiel II,Sexe - total,2002Q1,537518
5-96 Total,Temps partiel II,Sexe - total,2002Q2,534380
5-96 Total,Temps partiel II,Sexe - total,2002Q3,541511
5-96 Total,Temps partiel II,Sexe - total,2002Q4,537485
5-96 Total,Temps partiel II,Sexe - total,2003Q1,535050
5-96 Total,Temps partiel II,Sexe - total,2003Q2,543915
5-96 Total,Temps partiel II,Sexe - total,2003Q3,545108
5-96 Total,Temps partiel II,Sexe - total,2003Q4,546750
5-96 Total,Temps partiel II,Sexe - total,2004Q1,553820
5-96 Total,Temps partiel II,Sexe - total,2004Q2,555620
5-96 Total,Temps partiel II,Sexe - total,2004Q3,551607
5-96 Total,Temps partiel II,Sexe - total,2004Q4,558125
5-96 Total,Temps partiel II,Sexe - total,2005Q1,550634
5-96 Total,Temps partiel II,Homme,1991Q3,149082
5-96 Total,Temps partiel II,Homme,1991Q4,149519
5-96 Total,Temps partiel II,Homme,1992Q1,147421
5-96 Total,Temps partiel II,Homme,1992Q2,146955
5-96 Total,Temps partiel II,Homme,1992Q3,143803
5-96 Total,Temps partiel II,Homme,1992Q4,138397
5-96 Total,Temps partiel II,Homme,1993Q1,130374
5-96 Total,Temps partiel II,Homme,1993Q2,138198
5-96 Total,Temps partiel II,Homme,1993Q3,129547
5-96 Total,Temps partiel II,Homme,1993Q4,130086
5-96 Total,Temps partiel II,Homme,1994Q1,126833
5-96 Total,Temps partiel II,Homme,1994Q2,136972
5-96 Total,Temps partiel II,Homme,1994Q3,132249
5-96 Total,Temps partiel II,Homme,1994Q4,131474
5-96 Total,Temps partiel II,Homme,1995Q1,134127
5-96 Total,Temps partiel II,Homme,1995Q2,133109
5-96 Total,Temps partiel II,Homme,1995Q3,123200
5-96 Total,Temps partiel II,Homme,1995Q4,127046
5-96 Total,Temps partiel II,Homme,1996Q1,133209
5-96 Total,Temps partiel II,Homme,1996Q2,133182
5-96 Total,Temps partiel II,Homme,1996Q3,135468
5-96 Total,Temps partiel II,Homme,1996Q4,127676
5-96 Total,Temps partiel II,Homme,1997Q1,127967
5-96 Total,Temps partiel II,Homme,1997Q2,126086
5-96 Total,Temps partiel II,Homme,1997Q3,131683
5-96 Total,Temps partiel II,Homme,1997Q4,130986
5-96 Total,Temps partiel II,Homme,1998Q1,131494
5-96 Total,Temps partiel II,Homme,1998Q2,137807
5-96 Total,Temps partiel II,Homme,1998Q3,130732
5-96 Total,Temps partiel II,Homme,1998Q4,136043
5-96 Total,Temps partiel II,Homme,1999Q1,138052
5-96 Total,Temps partiel II,Homme,1999Q2,137713
5-96 Total,Temps partiel II,Homme,1999Q3,138244
5-96 Total,Temps partiel II,Homme,1999Q4,144472
5-96 Total,Temps partiel II,Homme,2000Q1,148744
5-96 Total,Temps partiel II,Homme,2000Q2,148740
5-96 Total,Temps partiel II,Homme,2000Q3,144814
5-96 Total,Temps partiel II,Homme,2000Q4,152306
5-96 Total,Temps partiel II,Homme,2001Q1,152827
5-96 Total,Temps partiel II,Homme,2001Q2,151562
5-96 Total,Temps partiel II,Homme,2001Q3,152642
5-96 Total,Temps partiel II,Homme,2001Q4,154617
5-96 Total,Temps partiel II,Homme,2002Q1,154939
5-96 Total,Temps partiel II,Homme,2002Q2,153495
5-96 Total,Temps partiel II,Homme,2002Q3,154036
5-96 Total,Temps partiel II,Homme,2002Q4,153645
5-96 Total,Temps partiel II,Homme,2003Q1,154246
5-96 Total,Temps partiel II,Homme,2003Q2,156785
5-96 Total,Temps partiel II,Homme,2003Q3,155094
5-96 Total,Temps partiel II,Homme,2003Q4,156006
5-96 Total,Temps partiel II,Homme,2004Q1,154390
5-96 Total,Temps partiel II,Homme,2004Q2,154832
5-96 Total,Temps partiel II,Homme,2004Q3,153819
5-96 Total,Temps partiel II,Homme,2004Q4,157517
5-96 Total,Temps partiel II,Homme,2005Q1,154548
5-96 Total,Temps partiel II,Femme,1991Q3,353899
5-96 Total,Temps partiel II,Femme,1991Q4,355070
5-96 Total,Temps partiel II,Femme,1992Q1,354736
5-96 Total,Temps partiel II,Femme,1992Q2,353150
5-96 Total,Temps partiel II,Femme,1992Q3,348367
5-96 Total,Temps partiel II,Femme,1992Q4,336931
5-96 Total,Temps partiel II,Femme,1993Q1,329915
5-96 Total,Temps partiel II,Femme,1993Q2,327103
5-96 Total,Temps partiel II,Femme,1993Q3,332410
5-96 Total,Temps partiel II,Femme,1993Q4,328877
5-96 Total,Temps partiel II,Femme,1994Q1,324431
5-96 Total,Temps partiel II,Femme,1994Q2,313894
5-96 Total,Temps partiel II,Femme,1994Q3,329673
5-96 Total,Temps partiel II,Femme,1994Q4,325991
5-96 Total,Temps partiel II,Femme,1995Q1,332553
5-96 Total,Temps partiel II,Femme,1995Q2,331594
5-96 Total,Temps partiel II,Femme,1995Q3,323830
5-96 Total,Temps partiel II,Femme,1995Q4,327724
5-96 Total,Temps partiel II,Femme,1996Q1,325088
5-96 Total,Temps partiel II,Femme,1996Q2,335871
5-96 Total,Temps partiel II,Femme,1996Q3,318719
5-96 Total,Temps partiel II,Femme,1996Q4,329522
5-96 Total,Temps partiel II,Femme,1997Q1,332220
5-96 Total,Temps partiel II,Femme,1997Q2,335773
5-96 Total,Temps partiel II,Femme,1997Q3,335075
5-96 Total,Temps partiel II,Femme,1997Q4,333683
5-96 Total,Temps partiel II,Femme,1998Q1,344159
5-96 Total,Temps partiel II,Femme,1998Q2,338491
5-96 Total,Temps partiel II,Femme,1998Q3,336243
5-96 Total,Temps partiel II,Femme,1998Q4,345863
5-96 Total,Temps partiel II,Femme,1999Q1,355596
5-96 Total,Temps partiel II,Femme,1999Q2,362575
5-96 Total,Temps partiel II,Femme,1999Q3,365723
5-96 Total,Temps partiel II,Femme,1999Q4,372058
5-96 Total,Temps partiel II,Femme,2000Q1,383817
5-96 Total,Temps partiel II,Femme,2000Q2,386822
5-96 Total,Temps partiel II,Femme,2000Q3,381357
5-96 Total,Temps partiel II,Femme,2000Q4,389508
5-96 Total,Temps partiel II,Femme,2001Q1,386636
5-96 Total,Temps partiel II,Femme,2001Q2,378871
5-96 Total,Temps partiel II,Femme,2001Q3,374666
5-96 Total,Temps partiel II,Femme,2001Q4,378170
5-96 Total,Temps partiel II,Femme,2002Q1,382579
5-96 Total,Temps partiel II,Femme,2002Q2,380886
5-96 Total,Temps partiel II,Femme,2002Q3,387475
5-96 Total,Temps partiel II,Femme,2002Q4,383840
5-96 Total,Temps partiel II,Femme,2003Q1,380804
5-96 Total,Temps partiel II,Femme,2003Q2,387131
5-96 Total,Temps partiel II,Femme,2003Q3,390014
5-96 Total,Temps partiel II,Femme,2003Q4,390744
5-96 Total,Temps partiel II,Femme,2004Q1,399431
5-96 Total,Temps partiel II,Femme,2004Q2,400788
5-96 Total,Temps partiel II,Femme,2004Q3,397788
5-96 Total,Temps partiel II,Femme,2004Q4,400608
5-96 Total,Temps partiel II,Femme,2005Q1,396086
5-96 Total,Temps partiel III,Sexe - total,1991Q3,249489
5-96 Total,Temps partiel III,Sexe - total,1991Q4,248174
5-96 Total,Temps partiel III,Sexe - total,1992Q1,248081
5-96 Total,Temps partiel III,Sexe - total,1992Q2,248903
5-96 Total,Temps partiel III,Sexe - total,1992Q3,244454
5-96 Total,Temps partiel III,Sexe - total,1992Q4,238330
5-96 Total,Temps partiel III,Sexe - total,1993Q1,237158
5-96 Total,Temps partiel III,Sexe - total,1993Q2,241624
5-96 Total,Temps partiel III,Sexe - total,1993Q3,240310
5-96 Total,Temps partiel III,Sexe - total,1993Q4,239234
5-96 Total,Temps partiel III,Sexe - total,1994Q1,237780
5-96 Total,Temps partiel III,Sexe - total,1994Q2,237459
5-96 Total,Temps partiel III,Sexe - total,1994Q3,241118
5-96 Total,Temps partiel III,Sexe - total,1994Q4,240051
5-96 Total,Temps partiel III,Sexe - total,1995Q1,241814
5-96 Total,Temps partiel III,Sexe - total,1995Q2,241394
5-96 Total,Temps partiel III,Sexe - total,1995Q3,241852
5-96 Total,Temps partiel III,Sexe - total,1995Q4,240203
5-96 Total,Temps partiel III,Sexe - total,1996Q1,238436
5-96 Total,Temps partiel III,Sexe - total,1996Q2,240007
5-96 Total,Temps partiel III,Sexe - total,1996Q3,239415
5-96 Total,Temps partiel III,Sexe - total,1996Q4,238408
5-96 Total,Temps partiel III,Sexe - total,1997Q1,238201
5-96 Total,Temps partiel III,Sexe - total,1997Q2,239914
5-96 Total,Temps partiel III,Sexe - total,1997Q3,243003
5-96 Total,Temps partiel III,Sexe - total,1997Q4,241784
5-96 Total,Temps partiel III,Sexe - total,1998Q1,242607
5-96 Total,Temps partiel III,Sexe - total,1998Q2,244150
5-96 Total,Temps partiel III,Sexe - total,1998Q3,245474
5-96 Total,Temps partiel III,Sexe - total,1998Q4,245726
5-96 Total,Temps partiel III,Sexe - total,1999Q1,247339
5-96 Total,Temps partiel III,Sexe - total,1999Q2,250756
5-96 Total,Temps partiel III,Sexe - total,1999Q3,254198
5-96 Total,Temps partiel III,Sexe - total,1999Q4,255689
5-96 Total,Temps partiel III,Sexe - total,2000Q1,257478
5-96 Total,Temps partiel III,Sexe - total,2000Q2,260896
5-96 Total,Temps partiel III,Sexe - total,2000Q3,261442
5-96 Total,Temps partiel III,Sexe - total,2000Q4,262338
5-96 Total,Temps partiel III,Sexe - total,2001Q1,263709
5-96 Total,Temps partiel III,Sexe - total,2001Q2,263176
5-96 Total,Temps partiel III,Sexe - total,2001Q3,264193
5-96 Total,Temps partiel III,Sexe - total,2001Q4,263792
5-96 Total,Temps partiel III,Sexe - total,2002Q1,263780
5-96 Total,Temps partiel III,Sexe - total,2002Q2,264646
5-96 Total,Temps partiel III,Sexe - total,2002Q3,266586
5-96 Total,Temps partiel III,Sexe - total,2002Q4,262862
5-96 Total,Temps partiel III,Sexe - total,2003Q1,262852
5-96 Total,Temps partiel III,Sexe - total,2003Q2,263797
5-96 Total,Temps partiel III,Sexe - total,2003Q3,265982
5-96 Total,Temps partiel III,Sexe - total,2003Q4,266271
5-96 Total,Temps partiel III,Sexe - total,2004Q1,266571
5-96 Total,Temps partiel III,Sexe - total,2004Q2,268709
5-96 Total,Temps partiel III,Sexe - total,2004Q3,269157
5-96 Total,Temps partiel III,Sexe - total,2004Q4,268598
