structure,type,seas_adj,date,value
gva,nom,csa,2017-10-01,171462.815878321
gva,nom,csa,2018-01-01,174394.541834492
gva,nom,csa,2018-04-01,176723.307471772
gva,nom,csa,2018-07-01,176414.234872345
gva,nom,csa,2018-10-01,176787.439557365
gva,nom,csa,2019-01-01,177181.144414685
gva,nom,csa,2019-04-01,178307.915969484
gva,nom,csa,2019-07-01,178479.845151865
gva,nom,csa,2019-10-01,178208.529051808
gva,nom,csa,2020-01-01,175470.022085488
gva,nom,csa,2020-04-01,164155.365019094
gva,nom,csa,2020-07-01,174262.630091395
gva,nom,csa,2020-10-01,176557.892819277
gva,nom,csa,2021-01-01,178679.41496337
gva,nom,csa,2021-04-01,185102.719503557
gva,nom,csa,2021-07-01,190111.790685137
gva,nom,csa,2021-10-01,192747.2546559
gva,nom,csa,2022-01-01,195754.376221053
gva,nom,csa,2022-04-01,198804.188278839
gva,nom,csa,2022-07-01,201015.967659177
gva,nom,csa,2022-10-01,202393.463913736
gva,nom,csa,2023-01-01,203590.032642927
gva,nom,csa,2023-04-01,202719.167235884
gva,nom,csa,2023-07-01,203281.159832526
gva,nom,csa,2023-10-01,204176.262654524
gva,nom,csa,2024-01-01,205331.709282302
gva,nom,csa,2024-04-01,207744.026846203
gva,nom,csa,2024-07-01,209456.659184852
gva,nom,csa,2024-10-01,210119.229237119
gva,nom,csa,2025-01-01,212364.726323497
gva,nom,csa,2025-04-01,212357.441907826
gva,nom,csa,2025-07-01,210671.894246779
gva,nom,csa,2025-10-01,210480.68978524
gva,nom,csa,2026-01-01,212783.461323352
agric,nom,csa,1990-01-01,1960.23750915265
agric,nom,csa,1990-04-01,1950.99865914954
agric,nom,csa,1990-07-01,1940.98274905043
agric,nom,csa,1990-10-01,1925.72759684786
agric,nom,csa,1991-01-01,1913.25666380278
agric,nom,csa,1991-04-01,1956.34751051047
agric,nom,csa,1991-07-01,1907.49115570842
agric,nom,csa,1991-10-01,1865.67167781136
agric,nom,csa,1992-01-01,1825.04023331472
agric,nom,csa,1992-04-01,1800.91721235244
agric,nom,csa,1992-07-01,1787.50734942119
agric,nom,csa,1992-10-01,1721.75017777894
agric,nom,csa,1993-01-01,1719.1450575117
agric,nom,csa,1993-04-01,1671.36746443324
agric,nom,csa,1993-07-01,1665.80740680658
agric,nom,csa,1993-10-01,1607.42579699308
agric,nom,csa,1994-01-01,1589.50798920786
agric,nom,csa,1994-04-01,1556.514546951
agric,nom,csa,1994-07-01,1578.05831338232
agric,nom,csa,1994-10-01,1567.06107156416
agric,nom,csa,1995-01-01,1523.78812246164
agric,nom,csa,1995-04-01,1469.93830802934
agric,nom,csa,1995-07-01,1453.9080672004
agric,nom,csa,1995-10-01,1403.86288185786
agric,nom,csa,1996-01-01,1317.40365564157
agric,nom,csa,1996-04-01,1295.26111157196
agric,nom,csa,1996-07-01,1268.44470933688
agric,nom,csa,1996-10-01,1282.61787902915
agric,nom,csa,1997-01-01,1324.27939317334
agric,nom,csa,1997-04-01,1351.4215683036
agric,nom,csa,1997-07-01,1349.93121488683
agric,nom,csa,1997-10-01,1368.2857914863
agric,nom,csa,1998-01-01,1339.61915357019
agric,nom,csa,1998-04-01,1316.67977689091
agric,nom,csa,1998-07-01,1300.39377076868
agric,nom,csa,1998-10-01,1246.43961424721
agric,nom,csa,1999-01-01,1208.8121222035
